Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,Symbol,Date
2024-08-26 00:00:00-04:00,202.89879052206823,203.8793008755177,201.49112245001544,202.17068481445312,5806000,0.0,0.0,Texas Instruments,TXN,2024-08-26 00:00:00-04:00
2024-08-27 00:00:00-04:00,201.85030292308153,204.9471813609123,201.5008116144441,204.53944396972656,4373400,0.0,0.0,Texas Instruments,TXN,2024-08-27 00:00:00-04:00
2024-08-28 00:00:00-04:00,204.48121635081864,205.10253264301502,199.95724922867217,201.6755828857422,3998100,0.0,0.0,Texas Instruments,TXN,2024-08-28 00:00:00-04:00
2024-08-29 00:00:00-04:00,204.4909196782136,208.15086861051603,203.52981478659655,204.9277801513672,5622800,0.0,0.0,Texas Instruments,TXN,2024-08-29 00:00:00-04:00
2024-08-30 00:00:00-04:00,206.3742697949543,208.39355126714673,205.22870918835156,208.0828857421875,5860900,0.0,0.0,Texas Instruments,TXN,2024-08-30 00:00:00-04:00
2024-09-03 00:00:00-04:00,205.7626790580949,205.7626790580949,195.31679404627485,195.9381103515625,9284000,0.0,0.0,Texas Instruments,TXN,2024-09-03 00:00:00-04:00
2024-09-04 00:00:00-04:00,195.73422715771832,199.73396461607325,194.44305124846127,198.0447540283203,4650400,0.0,0.0,Texas Instruments,TXN,2024-09-04 00:00:00-04:00
2024-09-05 00:00:00-04:00,196.39438072546247,198.30687288528418,193.85085473672308,195.66627502441406,4107400,0.0,0.0,Texas Instruments,TXN,2024-09-05 00:00:00-04:00
2024-09-06 00:00:00-04:00,195.61771705791998,195.97691110331348,190.98696099769498,191.68594360351562,6314400,0.0,0.0,Texas Instruments,TXN,2024-09-06 00:00:00-04:00
2024-09-09 00:00:00-04:00,196.19050449641125,196.38466305390745,193.18100982184913,195.29736328125,4864100,0.0,0.0,Texas Instruments,TXN,2024-09-09 00:00:00-04:00
2024-09-10 00:00:00-04:00,195.29736312197542,195.40415255051352,191.27822025035343,193.9673614501953,4859400,0.0,0.0,Texas Instruments,TXN,2024-09-10 00:00:00-04:00
2024-09-11 00:00:00-04:00,193.87027974519722,196.899209608202,189.34631265760163,196.5011749267578,5900500,0.0,0.0,Texas Instruments,TXN,2024-09-11 00:00:00-04:00
2024-09-12 00:00:00-04:00,195.71481402842753,196.10313113503886,188.98710979694286,190.2588653564453,7201000,0.0,0.0,Texas Instruments,TXN,2024-09-12 00:00:00-04:00
2024-09-13 00:00:00-04:00,191.35588197328457,195.01583068398395,191.0840570369653,194.0935516357422,4617000,0.0,0.0,Texas Instruments,TXN,2024-09-13 00:00:00-04:00
2024-09-16 00:00:00-04:00,192.918895146979,193.6761239200949,190.2685944410733,192.6761932373047,3717800,0.0,0.0,Texas Instruments,TXN,2024-09-16 00:00:00-04:00
2024-09-17 00:00:00-04:00,193.6178687081741,196.34583567422914,193.12274735522644,195.5109405517578,3478500,0.0,0.0,Texas Instruments,TXN,2024-09-17 00:00:00-04:00
2024-09-18 00:00:00-04:00,196.76327690079845,198.98643459624225,194.12269386186716,194.85079956054688,4262100,0.0,0.0,Texas Instruments,TXN,2024-09-18 00:00:00-04:00
2024-09-19 00:00:00-04:00,201.54937559519837,204.41325518278074,199.68542669602593,201.5396728515625,5155600,0.0,0.0,Texas Instruments,TXN,2024-09-19 00:00:00-04:00
2024-09-20 00:00:00-04:00,198.4136625871881,199.2679632045177,195.20999453549393,197.3651885986328,14502900,0.0,0.0,Texas Instruments,TXN,2024-09-20 00:00:00-04:00
2024-09-23 00:00:00-04:00,197.93794992946863,198.84080865004367,196.9185990436636,197.8991241455078,2757400,0.0,0.0,Texas Instruments,TXN,2024-09-23 00:00:00-04:00
2024-09-24 00:00:00-04:00,200.04460564710928,202.33571210648148,198.6369376322723,198.95730590820312,5573200,0.0,0.0,Texas Instruments,TXN,2024-09-24 00:00:00-04:00
