Company,Symbol,Date,Current_Price,Price_Change_30d,Volatility_30d,Avg_Volume_30d,Volume_Change_Ratio,High_52w,Low_52w,Current_vs_52w_High,Current_vs_52w_Low,Volatility_Score,Performance_Score,Financial_Risk_Score
TSMC,2330.TW,2025-08-25 00:00:00+08:00,1160.0,5.936073059360725,0.27528110961986635,30050140.633333333,0.14033035823207834,1200.0,776.7042321855096,96.66666666666667,149.34899952018588,1,3,1.8000000000000003
Intel,INTC,2025-08-22 00:00:00-04:00,24.799999237060547,6.437768451142811,0.5778155268611753,119239843.33333333,1.6596080174878907,27.549999237060547,17.670000076293945,90.01814854390024,140.35087226927746,5,2,3.8
NVIDIA,NVDA,2025-08-22 00:00:00-04:00,177.99000549316406,8.484182085417968,0.2625267898096805,158720840.0,1.0857692033383897,184.47999572753906,86.61398571543218,96.48200868133141,205.4979966837518,1,1,1.0
AMD,AMD,2025-08-22 00:00:00-04:00,167.75999450683594,14.715528039745474,0.4779305475411214,64935246.666666664,0.6760627279257788,186.64999389648438,76.4800033569336,89.87945351869404,219.35144762467772,4,1,2.8
Qualcomm,QCOM,2025-08-22 00:00:00-04:00,158.00999450683594,2.4110450337529787,0.3179306096495221,8049813.333333333,0.9578358752832364,179.10495279460073,120.07868408697037,88.22201287087985,131.5887126081368,2,3,2.4000000000000004
Broadcom,AVGO,2025-08-22 00:00:00-04:00,294.0,6.676340162914696,0.29185592860342213,17161176.666666668,0.9489792172370464,317.3500061035156,133.37998305373878,92.64219138035902,220.4228800070753,2,2,2.0
Texas Instruments,TXN,2025-08-22 00:00:00-04:00,206.05999755859375,-5.680810688301408,0.46457544893329455,7346913.333333333,0.840774856016631,220.09915271864855,137.770344476428,93.62144061590234,149.56774503372884,4,4,4.0
ASML,ASML,2025-08-22 00:00:00-04:00,754.8900146484375,-6.188581906189173,0.37002360968276354,2179676.6666666665,0.6673008076121383,913.1359707306863,575.4112594592259,82.6700555936241,131.19138741878055,3,5,3.8
Applied Materials,AMAT,2025-08-22 00:00:00-04:00,162.49000549316406,-17.32333837801512,0.48134676238103746,7609263.333333333,0.9785047085153666,213.47877762974773,123.03651058866168,76.11529693831332,132.06649369015685,5,5,5.0
Micron,MU,2025-08-22 00:00:00-04:00,117.68000030517578,-0.7840825397438023,0.45136028988880794,20982146.666666668,0.8102602784208288,129.72790124107314,61.482130717477204,90.71294546459303,191.405208199337,3,4,3.4
